SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
A&M-CorpusChristi,260,170,157,9-20,265,4-10,17,5-10,3-10,4-8,0-2,2-4,1-8,6-6,2-6,7-9
AirForce,167,161,139,14-14,214,6-5,9,8-9,3-8,5-7,1-4,1-7,2-1,10-2,2-11,12-3
Akron,76,158,132,23-10,77,10-4,12,13-6,6-5,7-5,1-4,5-2,4-3,13-1,6-6,15-2
Alabama,113,115,48,17-16,59,11-4,4,6-12,1-9,5-7,3-9,1-3,8-4,5-0,4-12,11-2
AlabamaA&M,294,257,339,11-15,332,0-7,31,11-8,5-9,9-3,0-1,0-2,0-2,11-10,0-3,11-12
AlabamaSt.,205,260,341,17-10,305,1-6,31,16-4,8-7,9-3,0-1,0-1,0-3,17-5,0-2,17-7
Albany(N.Y.),206,217,301,15-15,219,5-8,27,10-7,7-9,6-6,0-1,0-4,4-3,11-7,0-5,15-10
AlcornSt.,336,249,336,6-23,339,0-11,31,6-12,2-14,4-8,0-1,0-1,0-4,6-17,0-2,6-19
American,91,184,200,21-11,161,8-7,16,13-4,10-7,10-2,0-2,1-1,9-5,11-3,1-3,18-4
AppalachianSt.,154,183,195,17-13,174,4-5,21,13-8,7-7,6-6,1-2,0-1,7-8,9-2,1-3,12-4
Arizona,37,90,2,18-14,5,9-3,2,9-11,7-7,4-8,5-8,5-4,3-2,5-0,10-12,5-0
ArizonaSt.,83,123,70,19-12,96,10-2,2,9-10,4-6,5-7,5-7,2-3,2-2,10-0,7-10,11-0
Ark.-LittleRock,174,205,263,18-11,206,6-3,15,12-8,6-7,7-5,0-4,1-0,4-3,13-4,1-4,16-5
Ark.-PineBluff,310,258,340,11-18,327,2-7,31,9-11,6-11,4-8,0-1,0-1,0-3,11-13,0-2,11-15
Arkansas,26,106,24,22-10,36,11-3,4,11-7,2-7,6-6,6-4,3-1,10-6,3-0,9-5,10-1
ArkansasSt.,290,187,210,8-20,272,3-6,15,5-14,1-14,2-10,0-3,0-1,1-10,7-6,0-4,8-12
Army,212,200,249,14-16,254,7-7,16,7-9,7-9,6-6,0-0,0-5,4-6,10-5,0-5,13-9
Auburn,153,139,96,14-16,125,10-3,4,4-13,4-7,2-10,2-9,0-2,3-5,9-0,2-11,11-2
AustinPeay,84,209,279,24-10,67,5-6,29,19-4,8-8,11-1,0-2,2-3,3-1,19-4,2-5,20-5
BYU,25,154,124,27-7,68,11-4,9,16-3,8-5,10-2,2-4,6-3,7-0,12-0,8-7,18-0
BallSt.,297,155,128,6-24,274,1-12,12,5-12,1-13,3-9,0-6,0-5,2-6,4-7,0-11,6-10
Baylor,42,116,50,20-10,34,11-2,3,9-8,6-4,5-7,3-8,4-1,7-1,6-0,7-9,9-1
Belmont,79,205,263,24-8,156,11-7,23,13-1,9-5,12-0,0-1,0-3,11-1,13-3,0-4,18-3
Bethune-Cookman,319,239,333,9-20,303,4-8,30,5-12,4-10,3-9,0-1,0-0,0-6,9-13,0-1,9-15
Binghamton,247,210,281,14-16,235,5-8,27,9-8,5-10,6-6,0-0,1-3,2-8,11-5,1-3,13-12
BoiseSt.,87,197,243,24-8,106,9-4,20,15-4,12-3,9-3,1-1,4-3,1-2,18-2,5-4,18-2
BostonCollege,130,105,20,14-17,76,9-4,1,5-13,2-7,2-10,1-8,4-5,5-4,4-0,5-13,7-0
BostonU.,240,206,266,14-17,277,4-9,27,10-8,6-10,9-3,0-3,0-2,3-8,11-4,0-5,14-10
BowlingGreen,201,166,146,13-17,210,6-7,12,7-10,4-10,4-8,1-3,3-4,2-6,7-4,4-7,8-7
Bradley,104,126,78,17-15,89,8-5,8,9-10,6-7,7-5,3-7,1-3,7-5,6-0,4-10,10-1
Brown,105,201,253,19-9,129,8-6,25,11-3,10-6,10-2,0-2,1-3,3-4,15-0,1-5,18-2
Bucknell,203,177,179,12-19,234,5-10,16,7-9,4-12,3-9,0-0,2-4,5-7,5-8,2-4,9-11
Buffalo,268,156,130,9-20,195,6-6,12,3-14,1-12,4-8,0-4,0-7,2-5,7-4,0-11,9-6
Butler,17,145,105,29-3,20,11-1,11,18-2,11-2,11-1,1-1,9-2,10-0,9-0,10-3,12-0
CalPoly,216,179,184,11-18,211,4-8,19,7-10,4-11,5-7,0-2,1-6,2-6,8-4,1-8,9-5
CalStBakersfield,317,216,298,8-21,307,7-17,32,1-4,4-11,3-9,0-1,1-4,0-4,7-12,1-5,7-14
CalStFullerton,80,197,243,23-8,120,8-4,19,15-4,9-5,10-2,0-2,1-3,6-3,16-0,1-5,19-1
CalStNorthridge,112,187,210,19-10,165,7-5,19,12-5,9-5,6-6,0-1,3-3,2-5,14-1,3-4,15-2
California,92,102,14,16-15,46,9-2,2,7-13,5-6,4-8,2-10,3-4,5-1,6-0,5-14,7-0
Campbell,311,227,321,9-20,321,7-10,23,2-10,3-11,2-10,0-0,1-2,1-8,7-10,1-2,8-13
Canisius,318,183,195,6-25,295,3-8,18,3-17,0-15,3-9,0-1,0-2,2-12,4-10,0-3,5-13
Centenary(La.),282,189,218,9-21,225,7-8,22,2-13,3-14,1-11,0-1,2-5,1-7,6-8,2-6,7-14
CentralArk.,281,208,274,10-16,276,10-16,32,0-0,3-11,3-9,0-0,0-4,2-6,8-6,0-4,9-9
CentralConnSt.,208,208,274,14-16,240,4-7,24,10-9,6-10,6-6,0-1,1-0,4-10,9-5,1-1,12-12
CentralMich.,184,168,152,13-16,177,4-7,12,9-9,5-12,6-6,0-1,2-5,3-8,8-2,2-6,9-5
CharlestonSo.,326,216,298,6-20,335,2-9,28,4-11,1-14,3-9,0-0,0-2,1-9,5-9,0-2,6-13
Charlotte,68,119,59,20-13,79,9-5,7,11-8,4-7,7-5,5-5,4-3,8-3,3-2,9-8,8-3
Chattanooga,145,168,152,16-13,73,3-5,21,13-8,4-7,6-6,0-5,0-2,9-4,7-2,0-7,13-4
ChicagoSt.,213,166,146,8-17,205,4-15,32,4-2,3-13,7-5,0-4,0-5,1-3,7-5,0-9,7-5
Cincinnati,118,96,5,13-18,137,5-7,5,8-11,3-10,4-8,3-10,3-2,3-5,4-1,6-12,7-3
Citadel,334,175,173,2-24,280,1-4,21,1-20,0-13,1-11,0-4,0-0,0-14,2-6,0-4,2-13
Clemson,19,105,20,23-8,42,11-2,1,12-6,6-5,8-4,4-6,5-3,10-0,4-0,9-9,6-0
ClevelandSt.,63,138,93,19-12,88,6-5,11,13-7,6-8,7-5,1-4,5-2,6-5,7-1,6-6,10-2
CoastalCaro.,276,223,315,10-15,269,4-6,28,6-9,2-12,4-8,0-0,0-2,2-5,8-8,0-2,8-8
ColofCharleston,196,183,195,16-17,148,5-5,21,11-12,4-10,7-5,1-3,0-2,6-8,9-4,1-5,12-6
Colgate,172,200,249,18-14,196,9-6,16,9-8,8-9,8-4,0-1,1-4,4-3,13-6,1-5,15-8
Colorado,161,116,50,11-20,158,7-6,3,4-14,3-10,3-9,2-10,1-5,2-4,6-1,3-15,8-3
ColoradoSt.,265,140,101,6-24,209,5-7,9,1-17,0-14,1-11,0-6,1-8,0-6,5-4,1-14,5-10
Columbia,220,206,266,13-15,220,6-8,25,7-7,6-9,7-5,0-1,0-4,3-5,10-5,0-5,12-8
