SCHOOLNAME,RPI ORIGRPI,RECORD,NONCONFRPI NONCONFRECORD,CONFRPI CONFRECORD,ROAD,L10,1-50,51-100 101-200,201-999,VTOP100,VBELOW166
Boise St.,201 177,15-18,218 6-5,12 9- 13,3-10,6- 4,1- 5,0- 3 5- 6,9- 4,1- 8,10- 4
Birmingham-So.,202 206,15-14,136 7-4,27 8- 10,6-9,5- 5,0- 1,1- 3 1- 2,13- 8,1- 4,13- 9
Brigham Young,203 186,7-21,160 4-9,11 3- 12,2-9,2- 8,0- 5,2- 6 1- 9,4- 1,2- 11,4- 3
South Carolina St.,204 218,19-12,240 7-4,30 12- 8,9-6,7- 3,0- 0,1- 2 2- 6,16- 4,1- 2,16- 6
St. Francis (Pa.),205 212,14-13,123 4-4,29 10- 9,4-11,5- 5,1- 2,1- 1 2- 2,10- 8,2- 3,12- 9
Belmont,206 199,14-16,282 1-7,21 13- 9,5-9,6- 4,0- 2,0- 0 4- 8,10- 6,0- 2,10- 6
Southeast Mo. St.,207 210,11-14,256 1-6,25 10- 8,5-9,6- 4,0- 1,0- 1 4- 10,7- 2,0- 2,8- 3
New Orleans,208 201,12-17,188 5-8,13 7- 9,3-10,4- 6,0- 5,0- 5 5- 5,7- 2,0- 10,9- 6
Mercer,209 205,14-12,228 3-2,21 11- 10,6-7,5- 5,0- 1,0- 1 3- 5,11- 5,0- 2,12- 5
Loyola (Ill.),210 211,12-17,244 2-8,19 10- 9,5-11,7- 3,0- 2,0- 4 7- 6,5- 5,0- 6,8- 7
Cornell,211 221,12-14,273 4-8,18 8- 6,6-9,6- 4,0- 1,0- 4 4- 3,8- 6,0- 5,10- 8
Texas-San Antonio,212 213,12-13,260 2-6,26 10- 7,5-9,6- 4,0- 2,0- 1 2- 9,10- 1,0- 3,10- 1
Georgia,213 163,8-20,145 6-5,5 2- 15,0-9,1- 9,0- 10,2- 6 2- 3,4- 1,2- 16,4- 1
La Salle,214 215,10-19,175 4-7,15 6- 12,5-10,5- 5,0- 2,0- 7 7- 6,3- 4,0- 9,5- 4
Austin Peay,215 208,13-19,254 2-11,25 11- 8,3-11,5- 5,0- 2,0- 3 4- 8,9- 6,0- 5,10- 6
Jacksonville,216 220,14-13,305 2-3,21 12- 10,6-7,5- 5,0- 1,0- 0 4- 5,10- 7,0- 1,10- 7
Evansville,217 190,11-17,184 6-3,8 5- 14,1-10,1- 9,2- 6,1- 2 3- 7,5- 2,3- 8,6- 4
Troy,218 228,11-18,243 1-7,21 10- 11,5-9,3- 7,0- 0,0- 4 3- 7,8- 7,0- 4,8- 8
Lipscomb,219 225,14-12,281 3-2,21 11- 10,4-9,6- 4,0- 1,0- 1 3- 3,11- 7,0- 2,11- 7
Florida A&M,220 239,13-15,178 3-6,30 10- 9,5-11,6- 4,0- 5,0- 0 1- 6,12- 4,0- 5,12- 8
Wagner,221 236,13-17,308 1-8,29 12- 9,7-11,8- 2,0- 1,0- 1 4- 6,9- 9,0- 2,13- 12
Liberty,222 230,12-15,301 1-9,27 11- 6,5-10,6- 4,0- 2,0- 4 0- 3,12- 6,0- 6,12- 7
Weber St.,223 231,13-16,237 4-8,28 9- 8,4-12,6- 4,0- 1,0- 2 3- 4,10- 9,0- 3,12- 10
Robert Morris,224 232,13-15,227 2-7,29 11- 8,6-9,5- 5,0- 2,0- 2 0- 5,13- 6,0- 4,13- 9
Team,Wted Orig,,Non-Conf.,Conference,Road,10,,,,TOP,
"",RPI RPI,Record,RPI Record,RPI Record,Record,Games,1-50,51-100 101-200,201-999,,
"",,,,,,,,,,100,166
Samford,225 237,13-13,283 3-6,25 10- 7,4-10,4- 6,0- 0,0- 1 5- 6,8- 6,0- 1,8- 8
Penn St.,226 214,6-23,189 5-7,6 1- 16,1-9,0- 10,0- 13,0- 3 2- 6,4- 1,0- 16,4- 3
Brown,227 238,12-16,204 7-7,18 5- 9,6-9,3- 7,0- 0,0- 5 5- 5,7- 6,0- 5,10- 9
Wofford,228 241,10-14,239 3-4,20 7- 10,4-10,6- 4,0- 0,0- 4 5- 6,5- 4,0- 4,8- 6
Southern Miss.,229 217,8-17,156 6-3,9 2- 14,1-9,1- 9,1- 4,1- 4 1- 7,5- 2,2- 8,5- 4
Fla. Atlantic,230 244,10-17,310 0-7,21 10- 10,7-8,6- 4,0- 2,0- 2 1- 6,9- 7,0- 4,9- 8
Delaware,231 223,11-20,247 3-8,14 8- 12,3-11,4- 6,0- 4,1- 7 2- 7,8- 2,1- 11,8- 2
UC Santa Barb.,232 227,11-18,223 3-6,17 8- 12,2-13,3- 7,0- 3,0- 3 4- 8,7- 4,0- 6,9- 6
Charleston So.,233 235,12-16,217 3-6,27 9- 10,5-9,5- 5,0- 1,0- 5 1- 1,11- 9,0- 6,12- 9
Stony Brook,234 229,12-17,193 5-4,16 7- 13,3-11,5- 5,0- 3,0- 6 2- 5,10- 3,0- 9,12- 7
Marshall,235 224,6-22,167 3-6,10 3- 16,1-13,3- 7,2- 7,0- 7 1- 6,3- 2,2- 14,3- 3
Long Island,236 243,13-15,277 2-6,29 11- 9,4-11,6- 4,0- 1,0- 1 1- 6,12- 7,0- 2,13- 13
Utah Valley St.,237 260,14-12,280 5-11,32 9- 1,4-11,7- 3,0- 0,0- 0 1- 5,13- 7,0- 0,14- 9
Alabama A&M,238 257,15-13,312 1-7,31 14- 6,6-9,7- 3,0- 1,0- 1 0- 2,16- 9,0- 2,16- 10
Colgate,239 245,10-16,253 3-8,23 7- 8,4-9,4- 6,0- 2,0- 4 1- 6,9- 4,0- 6,9- 8
Lehigh,240 248,13-15,285 5-7,23 8- 8,5-10,4- 6,0- 0,1- 4 2- 3,10- 8,1- 4,11- 9
Butler,241 234,11-15,200 4-5,19 7- 10,3-9,6- 4,1- 1,0- 2 5- 9,5- 3,1- 3,7- 8
Colorado St.,242 216,9-17,181 6-5,11 3- 12,0-12,2- 8,0- 3,0- 5 4- 8,5- 1,0- 8,6- 4
Alabama St.,243 240,15-14,238 2-7,31 13- 7,4-8,4- 6,0- 3,0- 0 0- 1,15- 11,0- 3,15- 11
Tulsa,244 219,9-20,177 4-6,12 5- 14,1-11,4- 6,1- 5,0- 3 3- 9,5- 3,1- 8,5- 4
Tulane,245 225,9-18,255 5-5,9 4- 13,1-10,2- 8,1- 5,1- 5 1- 6,6- 2,2- 10,7- 3
Central Mich.,246 233,8-18,162 4-3,10 4- 15,2-11,3- 7,0- 4,1- 6 3- 5,4- 3,1- 10,6- 4
Grambling,247 259,12-12,215 1-4,31 11- 8,5-8,7- 3,0- 0,0- 4 0- 0,12- 8,0- 4,12- 8
McNeese St.,248 249,9-15,248 1-6,26 8- 9,3-11,6- 4,0- 2,0- 2 4- 5,5- 6,0- 4,5- 6
South Ala.,249 247,7-18,272 1-8,13 6- 10,3-10,5- 5,0- 5,0- 3 3- 7,4- 3,0- 8,6- 7
Mississippi Val.,250 269,13-15,266 2-7,31 11- 8,4-11,5- 5,0- 0,0- 1 2- 4,11- 10,0- 1,11- 10
UNC Asheville,251 256,9-17,257 1-8,27 8- 9,3-12,5- 5,0- 3,0- 4 0- 3,9- 7,0- 7,9- 8
UC Davis,252 255,10-17,242 8-17,32 2- 0,4-8,3- 7,0- 4,0- 2 0- 7,10- 4,0- 6,10- 6
Central Conn. St.,253 252,12-16,171 4-5,29 8- 11,5-9,5- 5,0- 2,0- 1 1- 6,11- 7,0- 3,11- 13
Baylor,254 222,8-19,261 7-3,2 1- 16,1-9,0- 10,0- 9,1- 6 1- 3,6- 1,1- 15,7- 2
Southern Utah,255 266,11-15,192 5-4,24 6- 11,3-12,4- 6,0- 1,0- 0 3- 10,8- 4,0- 1,10- 10
Chicago St.,256 261,9-19,252 1-9,24 8- 10,2-14,4- 6,0- 3,0- 1 6- 10,3- 5,0- 4,9- 11
Dartmouth,257,242,9-17,290 2-10,18,7- 7,1-13,6- 4,0- 2,0- 4,3- 5,6- 6,0- 6,8- 10
Duquesne,258,253,8-22,246 3-10,15,5- 12,3-11,2- 8,0- 4,0- 6,2- 9,6- 3,0- 10,7- 4
Stetson,259,272,9-17,289 1-5,21,8- 12,4-12,3- 7,0- 1,0- 1,2- 6,7- 9,0- 2,7- 9
Marist,260,251,11-17,235 3-6,22,8- 11,4-10,1- 9,0- 1,1- 3,3- 8,7- 5,1- 4,9- 9
St. Francis (N.Y.),261,273,13-15,270 4-5,29,9- 10,5-11,5- 5,0- 0,0- 0,2- 8,11- 7,0- 0,12- 13
Montana St.,262,254,12-14,306 3-8,28,9- 6,3-9,4- 6,0- 0,0- 0,2- 8,10- 6,0- 0,10- 8
New Hampshire,263,265,8-19,210 3-5,16,5- 14,3-12,3- 7,0- 5,0- 4,2- 5,6- 5,0- 9,8- 10
Jackson St.,264,262,14-17,232 3-8,31,11- 9,5-9,6- 4,0- 2,0- 2,0- 4,14- 9,0- 4,14- 10
Long Beach St.,265,246,10-20,250 3-8,17,7- 12,1-13,7- 3,0- 4,0- 3,3- 8,7- 5,0- 7,9- 7
Lafayette,266,258,8-19,221 3-9,23,5- 10,2-13,4- 6,0- 2,0- 7,2- 3,6- 7,0- 9,6- 7
Eastern Mich.,267,250,10-18,241 5-4,10,5- 14,1-12,3- 7,0- 3,0- 6,3- 7,7- 2,0- 9,9- 4
Eastern Ill.,268,264,11-16,219 4-6,25,7- 10,2-12,5- 5,0- 1,0- 2,2- 10,9- 3,0- 3,10- 6
Texas St.,269,285,10-14,294 2-5,26,8- 9,4-11,5- 5,0- 1,0- 1,2- 5,8- 7,0- 2,8- 7
Norfolk St.,270,287,13-14,327 2-6,30,11- 8,7-9,5- 5,0- 0,0- 3,1- 5,12- 6,0- 3,13- 7
Texas-Arlington,271,281,9-15,207 2-5,26,7- 10,4-10,3- 7,0- 1,0- 2,1- 7,8- 5,0- 3,8- 5
Eastern Wash.,272,277,7-20,220 2-10,28,5- 10,2-14,2- 8,0- 4,0- 0,0- 9,7- 7,0- 4,7- 9
Cleveland St.,273,274,7-17,269 1-6,19,6- 11,2-12,3- 7,0- 1,0- 4,2- 7,5- 5,0- 5,7- 7
Western Ill.,274,268,9-17,251 2-7,24,7- 10,2-12,4- 6,0- 2,0- 2,3- 9,6- 4,0- 4,8- 11
Elon,275,278,7-22,262 1-10,20,6- 12,2-13,6- 4,0- 2,0- 4,4- 9,3- 7,0- 6,5- 11
Sacramento St.,276,271,10-16,295 2-9,28,8- 7,2-12,7- 3,0- 1,0- 2,1- 6,9- 7,0- 3,9- 10
Radford,277,288,10-16,284 3-6,27,7- 10,4-10,4- 6,0- 2,0- 3,1- 1,9- 10,0- 5,10- 11
High Point,278,276,11-17,264 3-7,27,8- 10,3-11,3- 7,0- 3,0- 2,0- 2,11- 10,0- 5,11- 11
San Jose St.,279,263,6-23,225 3-7,12,3- 16,1-13,0- 10,0- 5,1- 2,2- 12,3- 4,1- 7,3- 5
Bethune-Cookman,280,293,13-16,279 4-6,30,9- 10,6-9,5- 5,0- 0,0- 2,3- 7,10- 7,0- 2,13- 8
Southern U.,281,284,12-15,299 1-6,31,11- 9,2-12,5- 5,0- 0,0- 1,1- 3,11- 11,0- 1,11- 12
Columbia,282,275,12-15,195 9-4,18,3- 11,4-9,0- 10,0- 0,0- 4,1- 5,11- 6,0- 4,12- 9
Canisius,283,270,11-18,313 2-7,22,9- 11,3-11,5- 5,0- 1,0- 3,3- 10,8- 4,0- 4,10- 8
William & Mary,284,267,8-21,205 4-5,14,4- 16,1-12,3- 7,0- 5,0- 6,1- 6,7- 4,0- 11,8- 4
Coastal Caro.,285,280,8-18,304 1-8,27,7- 10,2-13,4- 6,0- 0,1- 2,0- 7,7- 9,1- 2,7- 10
UMBC,286,279,10-18,307 4-4,16,6- 14,2-12,2- 8,0- 4,0- 4,3- 3,7- 7,0- 8,10- 10
Morehead St.,287,292,8-16,211 3-5,25,5- 11,3-10,3- 7,0- 3,0- 0,0- 8,8- 5,0- 3,8- 5
Tex.-Pan American,288,282,8-16,202 6-10,32,2- 6,1-13,3- 7,0- 1,0- 3,2- 6,6- 6,0- 4,7- 9
Team,Wted Orig,,Non-Conf.,Conference,Road,1  0,,,,TOP,
"",RPI RPI,Record,RPI Record,RPI Record,Record,Games,1-50,51-100 101-200,201-999,,
"",,,,,,,,,,100,166
Morgan St.,289 296,13-17,314 2-8,30 11- 9,3-12,6- 4,0- 0,0- 1 3- 8,10- 8,0- 1,11- 10
Stephen F. Austin,290 295,9-15,275 3-5,26 6- 10,3-9,3- 7,0- 0,0- 1 1- 7,8- 7,0- 1,8- 7
New Mexico St.,291 293,4-24,190 3-9,13 1- 15,1-11,1- 9,0- 4,1- 4 2- 9,1- 7,1- 8,2- 11
 Idaho,292 290,7-21,315 1-8,17 6- 13,2-13,1- 9,0- 3,1- 1 1- 9,5- 8,1- 4,5- 11
East Tenn. St.,293 286,7-19,224 2-6,20 5- 13,1-13,4- 6,0- 2,0- 1 3- 11,4- 5,0- 3,5- 9
Northern Ariz.,294 289,9-17,206 5-7,28 4- 10,1-11,2- 8,0- 1,0- 1 0- 8,9- 7,0- 2,9- 11
UC Riverside,295 283,8-19,236 4-5,17 4- 14,1-12,2- 8,0- 2,0- 3 2- 7,6- 7,0- 5,8- 8
Citadel,296 302,8-16,299 4-3,20 4- 13,4-9,0- 10,0- 0,0- 4 1- 9,7- 3,0- 4,8- 8
Siena,297 299,6-24,231 2-9,22 4- 15,3-10,3- 7,0- 2,0- 5 4- 11,2- 6,0- 7,5- 13
Northern Colo.,298 298,4-21,222 1-15,32 3- 6,1-14,3- 7,0- 5,0- 3 0- 5,4- 8,0- 8,4- 10
Quinnipiac,299 301,9-17,274 3-5,29 6- 12,3-12,3- 7,0- 1,0- 2 1- 3,8- 11,0- 3,9- 14
Hartford,300 291,8-20,249 4-5,16 4- 15,0-13,1- 9,0- 2,0- 5 3- 6,5- 7,0- 7,7- 12
Rhode Island,301 297,6-22,265 2-9,15 4- 13,1-12,2- 8,0- 0,2- 7 0- 13,4- 2,2- 7,4- 7
Towson,302 300,5-24,258 3-7,14 2- 17,1-13,0- 10,0- 3,0- 7 0- 6,5- 8,0- 10,5- 8
Texas Southern,303 305,10-15,322 1-6,31 9- 9,3-10,6- 4,0- 0,0- 0 0- 4,10- 11,0- 0,10- 12
Navy,304 304,8-18,317 3-8,23 5- 10,3-11,5- 5,0- 1,1- 3 0- 4,7- 10,1- 4,7- 10
James Madison,305 303,6-22,288 3-6,14 3- 16,2-12,2- 8,0- 4,1- 5 0- 6,5- 7,1- 9,5- 8
Tenn.-Martin,306 312,4-21,296 1-8,25 3- 13,3-12,2- 8,0- 1,0- 0 2- 10,2- 10,0- 1,2- 13
 IPFW,307 306,6-22,309 2-18,32 4- 4,0-16,3- 7,0- 1,1- 3 1- 10,4- 8,1- 4,5- 12
Western Caro.,308 308,5-22,276 2-8,20 3- 14,1-13,2- 8,0- 3,0- 3 1- 10,4- 6,0- 6,5- 11
Cal Poly,309 307,4-22,321 1-7,17 3- 15,1-12,2- 8,0- 3,0- 2 1- 8,3- 9,0- 5,3- 12
 Idaho St.,310 309,7-18,268 4-7,28 3- 11,1-11,3- 7,0- 0,0- 1 1- 5,6- 12,0- 1,7- 13
Ark.-Pine Bluff,311 318,5-21,293 0-7,31 5- 14,3-13,3- 7,0- 1,0- 3 0- 2,5- 15,0- 4,5- 15
St. Bonaventure,312 313,2-26,303 1-10,15 1- 16,0-12,1- 9,0- 2,0- 7 0- 11,2- 6,0- 9,2- 10
N.C. A&T,313 311,6-24,302 1-10,30 5- 14,1-14,2- 8,0- 2,0- 2 1- 7,5- 13,0- 4,5- 15
Mt. St. Mary's,314 316,7-20,324 2-7,29 5- 13,3-11,2- 8,0- 0,0- 2 0- 3,7- 15,0- 2,7- 18
Loyola (Md.),315 310,6-22,326 1-8,22 5- 14,1-12,3- 7,0- 1,1- 1 2- 11,3- 9,1- 2,5- 14
VMI,316 315,7-18,311 4-5,27 3- 13,3-11,4- 6,0- 1,0- 2 1- 0,6- 15,0- 3,6- 15
La.-Monroe,317 319,5-19,292 3-5,26 2- 14,2-12,2- 8,0- 0,0- 2 0- 8,5- 9,0- 2,5- 9
Jacksonville St.,318 314,4-22,287 2-8,25 2- 14,0-13,3- 7,0- 1,0- 1 2- 7,2- 13,0- 2,2- 13
Prairie View,319 322,5-23,318 0-9,31 5- 14,2-13,2- 8,0- 0,0- 4 0- 2,5- 17,0- 4,5- 18
Campbell,320 320,2-25,226 2-5,21 0- 20,1-15,0- 10,0- 1,0- 1 0- 9,2- 14,0- 2,2- 15
Team,Wted Orig,,Non-Conf.,Conference,Road,1 0,,,,TOP,
"",RPI RPI,Record,RPI Record,RPI Record,Record,Games,1-50,51-100 101-200,201-999,,
"",,,,,,,,,,100,166
Youngstown St.,321 317,3-23,319 1-8,19 2- 15,0-12,2- 8,0- 0,0- 4 1- 9,2- 10,0- 4,3- 13
Howard,322 326,5-23,291 3-6,30 2- 17,3-13,0- 10,0- 1,0- 2 0- 7,5- 13,0- 3,5- 16
Alcorn St.,323 323,6-22,329 0-10,31 6- 12,2-13,3- 7,0- 1,0- 0 0- 4,6- 17,0- 1,6- 18
Centenary (La.),324 325,2-24,316 1-9,24 1- 15,1-14,1- 9,0- 3,0- 1 0- 12,2- 8,0- 4,2- 17
Sacred Heart,325 324,4-23,320 1-8,29 3- 15,1-15,2- 8,0- 2,0- 0 1- 5,3- 16,0- 2,4- 21
Nicholls St.,326 321,3-21,271 2-6,26 1- 15,0-14,0- 10,0- 2,0- 0 0- 8,3- 11,0- 2,3- 11
Army,327 327,1-24,330 0-10,23 1- 14,0-13,0- 10,0- 0,0- 6 0- 4,1- 14,0- 6,1- 16
Md.-East. Shore,328 328,3-25,325 1-8,30 2- 17,1-14,2- 8,0- 0,0- 1 0- 9,3- 15,0- 1,3- 18
Savannah St.,329 330,0-28,328 0-25,32 0- 3,0-15,0- 10,0- 0,0- 0 0- 8,0- 20,0- 0,0- 25
Longwood,330 329,1-29,323 1-23,32 0- 6,0-15,0- 10,0- 5,0- 2 0- 5,1- 17,0- 7,1- 22
